"Firma","Ansprechpartner_GF","Telefon","Strasse","PLZ","Ort","Branche","MA_Groesse","Quelle","Quelle_Detail","Recherchedatum","Website","Umsatz_EUR","Gewinn_EUR","Anlagevermoegen_EUR","Finanz_Jahr","Finanz_Quelle"
"Software Daten Service Gesellschaft m.b.H.","Marcus Gaube, Ernst Kendlbacher","+43 1 24056-0","Rennweg 97-99","1030","Wien","Bankensoftware / Wertpapierabwicklung","173","Recherche","Northdata/Firmenwebsite","2026-08-30","sds.at","46100000","","","2024","Northdata"
"Mesonic Softwareentwicklung GmbH","Georg Alexander Kaes","","Kohlmarkt 1","1010","Wien","ERP/CRM-Softwareentwicklung","","Recherche","Northdata/FirmenABC","2026-08-30","mesonic.com","","","204599.6","2024","Northdata"
"ADES - Echtzeitdatenverarbeitungssysteme-Gesellschaft m.b.H.","Leopold Wagner","","Lange Gasse 65/9","1080","Wien","Individualsoftware für Energie/Umwelt/Verkehr","18","Recherche","Northdata/FirmenABC","2026-08-30","ades.at","1800000","","","2023","Northdata"
"Alpega TMS Austria SaaS GmbH","Julia Seidl, Christian Mayer","+43 5572 7374 0","Rothschildplatz 3/6.OG","1020","Wien","SaaS Transport-Management-Software (Logistik)","","Recherche","Northdata/WKO","2026-08-30","alpegagroup.com","","","4434062","2024","Northdata"
"joyn - it informationstechnologie gmbh","Roland Willhalm, Wolfgang Reisenbichler","","Mariahilfer Straße 52","1070","Wien","Individualsoftware / IT-Lösungen","22","Recherche","Northdata/Firmenauskunft","2026-08-30","joyn-it.at","2600000","","","2024","Northdata"
"BEG Computerservice GmbH","Gerhard Freywald","+43 1 6154000","Ernst-Krenek-Gasse 4","1230","Wien","Computerservice / IT-Systemhaus","","Recherche","WKO/Northdata","2026-08-30","https://beg.at","","","2206","2025","Northdata"
"at iT Informationstechnologie GmbH","Richard Stubenvoll","","Hermesstrasse 22","1130","Wien","IT-Systemhaus / Software für Rechnungswesen","","Recherche","WKO/Northdata/herold.at","2026-08-30","https://www.atit.at","","","14492","2024","Northdata"
"CBRA Digital GmbH","Ing. Claudia Brandl, MSc","+43 670 650 1016","Radetzkystraße 12/13A","1030","Wien","Digitalagentur / Webentwicklung","","Recherche","WKO/Northdata/Firmenwebsite","2026-08-30","https://cbra.digital","","66731","11379","2024","Northdata"
"weCreate Data GmbH","Johannes Ruisinger","","Obere Augartenstraße 2/24","1020","Wien","Werbeagentur / Digitalagentur","10-19","Recherche","WKO/Northdata","2026-08-30","","","-1001599","13982","2024","Northdata"
"Ecosio GmbH","Dr. Christoph Ebm, Dr. Philipp Liegl, Dr. Marco Zapletal","","Wiedner Gürtel 9","1100","Wien","EDI / B2B-Integration & E-Invoicing SaaS","","Recherche","WKO/Northdata","2026-08-30","https://ecosio.com","","","940281","2024","Northdata"
"CyberACI GmbH","Ing. Asif Safdary","","Lindengasse 56/18-19","1070","Wien","IT-Dienstleistungen / Cybersecurity","","Recherche","WKO/Northdata","2026-08-30","","","3748","19142","2024","Northdata"
"Deutsche Telekom Cyber Security Austria GmbH","Dipl.-Ing. Christopher Ehmsen, Mag. René Lichtkoppler","","Rennweg 97-99","1030","Wien","Cyber Security Services","","Recherche","WKO/Northdata","2026-08-30","https://business.telekom.com/at","","3003826","704330","2024","Northdata"
"Cloud Software Group Austria GmbH","Sajeev K. Sukumaran","","Donau-City-Straße 7/30. Stock","1220","Wien","Cloud-Software / Enterprise Software (vormals Citrix)","","Recherche","Northdata/Firmenabc","2026-08-30","https://www.cloud.com","","145600","1276","2024","Northdata"
"CyRiSo Cyber Risk Solutions GmbH","Mag. Christiana Bruckner, Michael Ganzwohl","","Deutschmeisterplatz 4","1010","Wien","Cybersecurity-Beratung (VIG-Tochter)","","Recherche","WKO/wirtschaft.at","2026-08-30","https://cyriso.at","","-309964","3894","2024","Northdata"
"42.eu Software GmbH","Michael Milkowits","","Landstraßer Gürtel 11/20","1030","Wien","Softwareentwicklung / Handelssoftware","","Recherche","WKO/Northdata","2026-08-30","","","","","",""
"KLINZINGER SOFTWARE GmbH","Lukas Klinzinger","","Pater-Schwartz-Gasse 11a","1150","Wien","SaaS-Softwareentwicklung (One-Man SaaS Factory)","1","Recherche","WKO/Northdata","2026-08-30","klinzinger.com","","","","",""
"peopleX Software GmbH","Philipp Brunner","","Obere Donaustraße 33","1020","Wien","Individualsoftware für Arbeitsmarktpolitik","","Recherche","WKO/Northdata","2026-08-30","peoplex.at","","","","",""
"PEAK SaaS GmbH","Dominik Holter","","Piaristengasse 56","1080","Wien","SaaS E-Commerce-Plattform","","Recherche","WKO/FirmenABC","2026-08-30","","","","","",""
"RIB SAA Software Engineering GmbH","Christian Hanser, Robert Neubauer","+43 1 6414247-0","Gudrunstraße 184/4","1100","Wien","Software für Bau- und Fertigteilindustrie","","Recherche","WKO/Northdata","2026-08-30","saa.at","","","","",""
"pemundo GmbH","Martin Sulzbacher, Christina Mokoru","+43 676 3961730","Steingasse 4/18","1030","Wien","HR-SaaS-Software","","Recherche","WKO/Northdata","2026-08-30","pemundo.com","","","","",""
"WeDev-IT GmbH","Özgür Deli","","Floridsdorfer Hauptstraße 1/Top T20b","1210","Wien","Individualsoftware / IT-Consulting","1","Recherche","WKO/FirmenABC","2026-08-30","wedev-it.at","","","","",""
"PROPUP GmbH","Michael Reikersdorfer","","Marxergasse 17/1/33-34","1030","Wien","PropTech-SaaS für Immobilienbranche","","Recherche","WKO/evi.gv.at","2026-08-30","propup.at","","","","",""
"Clickservice GmbH","Hajro Plaku","0676 4963034","An den Alten Schanzen 25/49","1220","Wien","Softwareentwicklung / E-Commerce","5-9","Recherche","WKO/Firmenwebsite","2026-08-30","clickservice.at","","","","",""
"D.A.T.A. Corporation Softwareentwicklungs GmbH","Moritz Kogler, Sebastian Rainer","","Invalidenstraße 5-7/Top 10","1030","Wien","Individualsoftware für Radiologie (Medizinsoftware)","","Recherche","WKO/Northdata","2026-08-30","data.at","","","","",""
"COREX EDV-Dienstleistungen GmbH","Martin Hiltmann","","Fernkorngasse 10","1100","Wien","IT-Systemhaus / EDV-Dienstleistungen","","Recherche","WKO/Northdata/firmenabc.at","2026-08-30","https://www.corex.at","","","","",""
"CURA EDV-Service GmbH","Christoph Ferstl","","Gumpendorfer Straße 26","1060","Wien","IT-Consulting / Netzwerktechnik & Datensicherheit","","Recherche","WKO/Firmenbuch (evi.gv.at)/firmenabc.at","2026-08-30","https://www.cura.at","","","","",""
"Net Informationstechnologie GmbH","Walter Baranyai","","Anton-Baumgartner-Straße 125/1/2/1","1230","Wien","IT-Infrastruktur / Informationstechnologie","","Recherche","WKO/Northdata/firmenabc.at","2026-08-30","","","","","",""
"IT United GmbH","Mauro Massimo Caprioli / Christoph Wiesnagrotzki","+43 1 2266 2266","Erndtgasse 9-11","1180","Wien","IT-Support / Netzwerktechnik / IT-Consulting","","Recherche","WKO/Firmenbuch/firmenabc.at","2026-08-30","https://www.it-united.at","","","","",""
"HUSEIN EDV Dienstleistungs GmbH","Shenol Husein","+43 676 7334553","Mariahilfer Straße 84/30","1070","Wien","IT-Dienstleistungen / EDV","","Recherche","WKO/herold.at","2026-08-30","","","","","",""
"EPC-Computerservice GmbH","Egmont Gerhard Perthel","+43 650 8416171","Anzengrubergasse 16/37","1050","Wien","Computerservice / IT-Support","","Recherche","WKO/herold.at/firmenabc.at","2026-08-30","https://www.epc-computerservice.at","","","","",""
"NERA Computersysteme GmbH","Nenad Radakovic / Daniel Radakovic","","Baslergasse 12/15","1230","Wien","IT-Netzwerklösungen / Netzwerkbetreuung","","Recherche","WKO/Northdata/herold.at","2026-08-30","https://nera.at","","","","",""
"2beWIRED GmbH","Georg Lechner / Markus Hofer","+43 1 3451426","Karl-Beck-Gasse 3A/29","1220","Wien","IT & EDV-Dienstleister / IT-Support Outsourcing","","Recherche","WKO/Northdata/Firmenwebsite","2026-08-30","https://2bewired.at","","","","",""
"EDV-N Technology GmbH","Werner Lugschitz / Thomas Hammer","","Kolbegasse 69","1230","Wien","IT-Dienstleistungen / Informationstechnologie","","Recherche","WKO/Northdata/herold.at","2026-08-30","https://edv-n.com","","","","",""
"Datenträger EDV GmbH","Heimo Günther","","Lehrbachgasse 4","1120","Wien","IT-Dienstleistungen / Datensicherung & EDV","","Recherche","WKO/herold.at","2026-08-30","https://www.datentraeger.at","","","","",""
"Elektronische Datenverarbeitung GmbH","Claudia Badstöber / Friedrich Eitler","","Walfischgasse 5","1010","Wien","IT-Dienstleistungen / Softwareentwicklung & Hardware-Beratung","","Recherche","WKO/Northdata/Firmenbuch","2026-08-30","","","","","",""
"PULKER SOFT EDV-Dienstleistungs GmbH","Hans Peter Pulker","+43 1 4702002","Blaselgasse 6","1180","Wien","EDV-Dienstleistungen / Rechenzentrum & PC-Netzwerkbetreuung","","Recherche","WKO/Firmenbuch/herold.at","2026-08-30","","","","","",""
"IT Operations & Consulting GmbH (ITOC)","Martin Hurka","+43 1 71448 60","Kolpingstraße 4","1230","Wien","IT-Infrastruktur / Netzwerke / IT-Operations Consulting","","Recherche","WKO/Firmenbuch/Firmenwebsite","2026-08-30","https://www.itoc.at","","","","",""
"Web Engineering GmbH","Karl-Heinz Welsch","","Lammgasse 2/17","1080","Wien","IT-Dienstleistungen / Webdesign-Beratung","","Recherche","WKO/Firmenbuch","2026-08-30","https://webengineering.at","","","","",""
"DVIK webdesign GmbH","Inna Kniazhitsyna","","Volkertstraße 2-4/1/10","1020","Wien","Webdesign / Online Marketing","","Recherche","WKO/Northdata","2026-08-30","","","","","",""
"webagentur.at internet services GmbH","Thomas Josef Dolezal","","Anastasius-Grün-Gasse 14","1180","Wien","Webagentur / IT-Dienstleistung","","Recherche","WKO/Firmenbuch","2026-08-30","https://webagentur.at","","","","",""
"SBD IT Consulting GmbH","Wolfgang Ziegler, MSc MBA","+43 1 9616686","Engerthstraße 257/4/46","1020","Wien","IT-Consulting / Schulung & Datenbanken","","Recherche","WKO/Firmenbuch/Northdata","2026-08-30","https://sbd.at","","","","",""
"iT-Knowledge GmbH","Ing. Michael Zenger","+43 1 23 66 667-0","Absberggasse 27/7/7.16","1100","Wien","IT-Consulting / IT-Dienstleistungen","ca. 10","Recherche","WKO/Firmenbuch","2026-08-30","","","","","",""
"Blue Monkeys GmbH","Moritz Miedler, Christoph Tockner","","Stella-Klein-Löw-Weg 11","1020","Wien","Digitalagentur / Mediendienstleistungen","","Recherche","WKO/Firmenbuch","2026-08-30","","","","","",""
"nolock Softwarelösungen GmbH","Phillip Egger, Clemens Geistler","+43 1 5851006","Strobachgasse 6","1050","Wien","Softwareentwicklung (Ticketing-Software)","","Recherche","WKO/Firmenbuch/Northdata","2026-08-30","https://www.nolock.at","","","","",""
"BLACKDOT GmbH","Sascha Kurt Andrä Wostry, MA","","Servitengasse 5/16","1090","Wien","Unternehmensberatung & Digitalagentur","","Recherche","WKO/Firmenbuch/Northdata","2026-08-30","https://www.blackdot.at","","","","",""
"WH Digital Services GmbH","Klaus Fischer, Malgorzata Kawka","","Reichsratsstraße 11","1010","Wien","IT-Dienstleistungen / Digitalagentur","","Recherche","WKO/Firmenbuch","2026-08-30","https://wh-d.at","","","","",""
